site area,structure type,water consumption,recycling rate,utilisation rate,air qality index,issue reolution time,resident count,electricity cost,Appliance_Type,Meter_Type,Usage_Pattern,Energy_Source,Maintenance_Status,Peak_Hour_Usage,Backup_Power,Weather_Condition
2127,Residential,1489,15,65,117,52,124,2656,Refrigerator,Analog,High,Wind,Poor,No,None,Rainy
1484,Commercial,1454,70,59,40,64,0,1568,Washing Machine,Analog,Medium,Solar,Poor,No,Inverter,Winter
1166,Residential,1142,13,54,134,30,63,1512,Refrigerator,Smart,Medium,Wind,Poor,Yes,None,Rainy
2561,Residential,3650,32,94,199,30,211,3550,AC,Smart,Low,Grid,Poor,Yes,None,Summer
3672,Residential,2229,38,93,93,35,250,4177,Heater,Analog,Low,Solar,Poor,Yes,None,Summer
2951,Residential,5613,24,61,60,35,195,3450,AC,Analog,High,Grid,Poor,No,None,Rainy
1691,Residential,1161,87,57,173,69,163,2514,Washing Machine,Analog,High,Grid,Average,No,None,Winter
4482,Residential,7778,60,None,112,66,358,5065,Washing Machine,Analog,High,Solar,Average,No,Inverter,Summer
2174,Commercial,2483,22,36,56,44,0,1983,Fan,Smart,Medium,Solar,Poor,Yes,Inverter,Rainy
2023,Residential,2983,17,54,183,55,39,2186,Heater,Analog,Medium,Solar,Poor,No,Generator,Winter
520,Commercial,1000,78,74,17,37,0,886,Fan,Smart,Medium,Wind,Average,No,Generator,Winter
2104,Commercial,1000,39,55,136,45,0,1849,Washing Machine,Smart,Medium,Wind,Good,No,Generator,Rainy
2323,Commercial,1524,31,84,61,11,0,2727,Refrigerator,Smart,Medium,Grid,Poor,Yes,Generator,Winter
2831,Residential,2628,81,64,153,49,84,2770,Refrigerator,Smart,Low,Solar,Average,No,None,Rainy
1396,Commercial,1678,67,43,122,61,0,1741,Refrigerator,Smart,High,Solar,Poor,No,None,Summer
4971,Residential,2964,63,67,102,46,261,4644,AC,Smart,High,Grid,Average,Yes,Inverter,Rainy
4725,Commercial,7002,71,40,130,35,0,4030,Heater,Smart,Low,Grid,Average,No,Generator,Summer
4568,Commercial,8780,74,41,170,33,0,4268,Fan,Analog,High,Wind,Average,Yes,None,Rainy
3186,Residential,2616,75,49,100,47,55,2600,Refrigerator,Analog,Low,Solar,Poor,Yes,None,Rainy
3349,Mixed-use,5450,51,59,168,36,276,2610,Heater,Smart,High,Wind,Good,No,Generator,Summer
2424,Commercial,4683,23,41,189,28,0,2119,Washing Machine,Analog,Low,Solar,Good,Yes,None,Summer
2515,Commercial,4923,15,30,169,1,0,2239,Fan,Analog,Low,Grid,Average,No,Generator,Winter
4774,Residential,None,59,None,42,45,197,4184,AC,Analog,High,Wind,Poor,No,Generator,Summer
4260,Residential,3595,49,64,158,41,256,4557,AC,Smart,Low,Solar,Average,No,None,Winter
872,Industrial,1000,51,46,41,12,0,1661,Heater,Analog,High,Grid,Good,Yes,Inverter,Rainy
1185,Commercial,2494,11,82,135,46,0,1982,Refrigerator,Smart,Low,Solar,Good,Yes,Generator,Summer
4325,Mixed-use,2313,71,90,76,14,207,3069,Fan,Smart,Medium,Solar,Good,Yes,Generator,Summer
4029,Residential,4244,53,34,178,57,121,3792,Heater,Smart,High,Wind,Good,No,Generator,Winter
3211,Commercial,4639,72,73,105,55,0,2892,Refrigerator,Smart,Low,Grid,Poor,No,Generator,Winter
2302,Residential,3992,11,61,95,62,89,2596,Heater,Smart,High,Wind,Good,No,Inverter,Rainy
1476,Industrial,1000,26,73,197,25,0,2247,Refrigerator,Analog,Low,Grid,Average,No,None,Summer
1130,Commercial,1456,29,96,67,18,0,2185,Heater,Analog,High,Grid,Average,No,None,Rainy
1743,Mixed-use,3062,88,60,92,25,88,1534,Fan,Analog,High,Wind,Good,No,Generator,Rainy
4350,Commercial,4596,87,91,43,18,0,4237,Refrigerator,Smart,Medium,Wind,Good,Yes,Inverter,Winter
1057,Commercial,1483,88,44,16,42,0,1309,Heater,Smart,High,Wind,Average,Yes,None,Rainy
4786,Mixed-use,2133,51,46,75,66,419,3123,Fan,Analog,Medium,Grid,Good,No,Inverter,Winter
629,Commercial,1000,79,82,194,1,0,1209,Fan,Analog,Low,Grid,Good,No,Generator,Summer
3818,Residential,8022,77,40,12,16,143,3207,Refrigerator,Analog,High,Solar,Good,Yes,Inverter,Rainy
2046,Commercial,3546,46,77,114,16,0,2279,Heater,Smart,Medium,Solar,Average,Yes,Inverter,Summer
2364,Residential,4430,75,97,146,42,152,3161,AC,Smart,Medium,Solar,Average,Yes,None,Rainy
4065,Residential,6306,32,85,44,34,346,5121,Fan,Smart,Low,Grid,Average,No,None,Rainy
2698,Commercial,3197,30,31,155,42,0,2554,Heater,Analog,Low,Solar,Good,No,None,Winter
3996,Mixed-use,6799,67,73,153,21,31,3075,AC,Analog,Medium,Solar,Good,No,Inverter,Winter
3920,Residential,3005,77,94,19,12,352,4830,Washing Machine,Analog,High,Wind,Poor,Yes,Inverter,Rainy
2521,Residential,5059,52,None,118,5,228,3479,Fan,Smart,Medium,Solar,Average,No,Inverter,Summer
2962,Residential,4386,50,39,53,72,250,3433,Fan,Analog,Low,Wind,Poor,Yes,Generator,Summer
597,Residential,1000,64,99,180,59,58,1306,Heater,Smart,Low,Solar,Good,No,Generator,Rainy
4518,Commercial,3036,67,87,33,54,0,4575,Fan,Smart,Medium,Solar,Average,Yes,None,Rainy
2037,Commercial,1823,18,67,146,16,0,2269,Refrigerator,Analog,High,Wind,Good,Yes,Inverter,Summer
4498,Residential,7550,28,30,149,62,193,4356,Refrigerator,Smart,Medium,Grid,Average,Yes,None,Rainy
3308,Residential,4366,39,94,82,15,135,4106,Refrigerator,Analog,Medium,Grid,Good,Yes,None,Winter
875,Industrial,1000,64,50,89,1,0,1681,Washing Machine,Analog,Medium,Solar,Good,No,Inverter,Summer
